latitude,longitude,halfAngle,target
0.0,-38.0,37.0,0
-13.0,-27.0,33.0,0
-11.0,-5.0,40.0,0
-17.0,0.0,49.0,0
0.0,-34.0,30.0,0
-25.0,48.0,47.0,0
-30.0,32.0,32.0,1
-19.0,43.0,49.0,1
16.0,-5.0,51.0,1
17.0,-65.0,30.0,0
-16.0,90.0,45.0,0
4.0,115.0,45.0,0
-16.0,-3.0,31.0,0
18.0,-39.0,29.0,0
-19.0,-5.0,27.0,0
-20.0,94.0,36.0,0
-26.0,-1.0,38.0,0
-41.0,-5.0,45.0,0
9.0,8.0,18.0,0
2.0,-42.0,24.0,0
-6.0,-68.0,30.0,0
-6.0,-90.0,35.0,0
-1.0,-13.0,31.0,0
-26.0,-2.0,21.0,0
-24.0,5.0,33.0,0
-38.0,89.0,12.0,0
-36.0,-14.0,38.0,0
35.0,-124.0,38.0,0
31.0,-85.0,14.0,0
-20.0,46.0,40.0,0
34.0,5.0,25.0,1
33.0,31.0,13.0,0
12.0,30.0,22.0,1
28.0,56.0,28.0,0
4.0,53.0,47.0,0
1.0,97.0,44.0,0
2.0,37.0,40.0,0
-22.0,-99.0,11.0,0
-14.0,-58.0,48.0,0
3.0,-9.0,45.0,1
-1.0,58.0,28.0,0
10.0,70.0,33.0,0
11.0,80.0,34.0,0
-18.0,-5.0,40.0,0
2.0,-2.0,31.0,0
1.0,88.0,48.0,0
-17.0,94.0,42.0,0
0.0,96.0,43.0,0
16.0,-54.0,31.0,0
27.0,-39.0,25.0,0
20.0,-33.0,45.0,0
-12.0,-83.0,44.0,0
-6.0,-52.0,25.0,0
0.0,-39.0,28.0,0
-17.0,-56.0,28.0,0
6.0,21.0,31.0,0
-14.0,-34.0,29.0,0
-21.0,-53.0,34.0,0
16.0,10.0,61.0,1
-23.0,65.0,33.0,0
-19.0,102.0,37.0,0
1.0,-25.0,50.0,0
8.0,-27.0,37.0,0
-8.0,-27.0,45.0,0
7.0,12.0,45.0,0
3.0,3.0,50.0,0
0.0,15.0,40.0,0
-3.0,48.0,35.0,0
-15.0,54.0,45.0,0
-4.0,22.0,35.0,0
20.0,-44.0,41.0,0
-20.0,-20.0,26.0,0
-31.0,-40.0,43.0,1
-32.0,19.0,35.0,0
-15.0,90.0,21.0,0
-6.0,2.0,46.0,1
-4.0,-74.0,43.0,0
-35.0,104.0,27.0,0
-27.0,99.0,36.0,0
-18.0,101.0,30.0,0
20.0,-24.0,23.0,0
-21.0,-92.0,34.0,0
46.0,25.0,31.0,0
29.0,28.0,36.0,0
47.0,43.0,24.0,0
21.0,37.0,48.0,0
-2.0,104.0,40.0,0
4.0,108.0,47.0,0
15.0,-12.0,31.0,0
35.0,-29.0,42.0,0
-33.0,-48.0,40.0,0
-31.0,-22.0,39.0,0
-33.0,-46.0,38.0,0
-3.0,117.0,50.0,0
14.0,-98.0,28.0,0
-2.0,-39.0,34.0,0
-37.0,-2.0,19.0,0
12.0,-6.0,28.0,0
-11.0,40.0,22.0,0
28.0,25.0,33.0,0
-11.0,-90.0,33.0,0
-29.0,43.0,34.0,0
18.0,48.0,17.0,0
-8.0,38.0,44.0,0
27.0,-29.0,28.0,0
-3.0,-39.0,46.0,0
6.0,-12.0,10.0,0
24.0,44.0,23.0,0
-18.0,24.0,15.0,0
-1.0,-9.0,45.0,0
18.0,2.0,21.0,0
6.0,-2.0,30.0,0
-24.0,27.0,42.0,0
2.0,-33.0,47.0,0
-7.0,88.0,39.0,0
24.0,30.0,24.0,0
21.0,12.0,41.0,0
11.0,-18.0,25.0,0
8.0,2.0,45.0,0
3.0,55.0,19.0,0
16.0,-95.0,29.0,0
-25.0,-9.0,26.0,1
-3.0,7.0,40.0,1
-30.0,43.0,38.0,0
-25.0,-10.0,35.0,0
-28.0,7.0,43.0,0
-27.0,8.0,23.0,0
-26.0,18.0,49.0,0
-14.0,7.0,49.0,0
3.0,90.0,18.0,0
-32.0,46.0,26.0,0
-33.0,49.0,47.0,0
-24.0,53.0,34.0,0
-16.0,73.0,38.0,0
-13.0,56.0,40.0,0
-8.0,80.0,37.0,0
-5.0,150.0,55.0,0
-28.0,-31.0,37.0,0
-13.0,-25.0,34.0,0
43.0,-12.0,25.0,0
25.0,95.0,39.0,0
4.0,-90.0,32.0,0
-10.0,43.0,10.0,0
3.0,-88.0,36.0,0
11.0,-66.0,32.0,0
10.0,-30.0,22.0,0
0.0,-30.0,14.0,0
5.0,28.0,40.0,0
17.0,35.0,15.0,0
24.0,37.0,23.0,0
34.0,49.0,29.0,0
-29.0,-30.0,48.0,0
44.0,65.0,25.0,0
42.0,78.0,34.0,0
-20.0,-61.0,40.0,0
14.0,38.0,44.0,0
9.0,29.0,34.0,0
-31.0,50.0,22.0,0
13.0,87.0,26.0,0
16.0,-73.0,20.0,0
13.0,-68.0,22.0,0
-39.0,-24.0,18.0,0
-35.0,-60.0,44.0,0
-21.0,-65.0,47.0,0
-14.0,29.0,21.0,0
-20.0,9.0,20.0,0
-9.0,36.0,38.0,0
25.0,59.0,41.0,0
30.0,90.0,38.0,0
12.0,35.0,18.0,0
4.0,45.0,60.0,0
26.0,10.0,26.0,0
24.0,55.0,44.0,0
-14.0,-11.0,24.0,0
24.0,-26.0,17.0,0
-26.0,98.0,16.0,0
27.0,17.0,30.0,0
-5.0,-70.0,10.0,0
2.0,-80.0,28.0,0
2.0,-90.0,25.0,0
-28.0,60.0,16.0,0
-26.0,85.0,27.0,0
-35.0,93.0,24.0,0
-16.0,90.0,22.0,0
-19.0,44.0,30.0,0
-19.0,-70.0,15.0,0
17.0,60.0,34.0,0
22.0,61.0,39.0,0
21.0,65.0,38.0,0
31.0,-33.0,27.0,0
-34.0,37.0,22.0,0
-24.0,14.0,32.0,0
-13.0,-131.0,53.0,0
-35.0,-30.0,37.0,0
-37.0,-107.0,27.0,0
-31.0,22.0,21.0,0
17.0,-79.0,31.0,0
10.0,-66.0,12.0,0
30.0,-66.0,19.0,0
45.0,-52.0,20.0,0
-29.0,39.0,48.0,0
-19.0,-44.0,29.0,0
-19.0,-56.0,46.0,0
23.0,-59.0,10.0,0
-2.0,-35.0,26.0,0
-36.0,41.0,37.0,0
-32.0,7.0,24.0,0
28.0,17.0,20.0,0
-40.0,44.0,27.0,0
-36.0,48.0,26.0,0
-4.0,1.0,45.0,0
30.0,-15.0,34.0,0
-11.0,-15.0,41.0,0
26.0,56.0,36.0,0
25.0,-90.0,32.0,0
4.0,-20.0,45.0,0
28.0,-90.0,30.0,0
14.0,24.0,22.0,0
20.0,-66.0,31.0,0
29.0,19.0,41.0,1
10.0,48.0,58.0,0
31.0,30.0,28.0,0
22.0,61.0,18.0,0
2.0,70.0,31.0,0
2.0,70.0,22.0,0
-2.0,65.0,36.0,0
-2.0,85.0,45.0,0
-7.0,65.0,35.0,0
-3.0,70.0,30.0,0
-30.0,38.0,46.0,0
-38.0,-3.0,27.0,0
16.0,-160.0,50.0,0
31.0,31.0,39.0,0
-31.0,20.0,28.0,1
27.0,-40.0,45.0,1
-12.0,78.0,45.0,0
-23.0,87.0,50.0,0
26.0,-14.0,26.0,0
-14.0,-44.0,19.0,0
-13.0,19.0,43.0,1
15.0,-55.0,42.0,0
13.0,-92.0,37.0,0
3.0,-104.0,18.0,0
2.0,-34.0,37.0,0
11.0,14.0,44.0,0
45.0,38.0,38.0,1
12.0,-30.0,45.0,1
16.0,10.0,61.0,1
-25.0,-9.0,26.0,1
-25.0,-9.0,26.0,1
50.0,25.0,46.0,1
-15.0,-63.0,75.0,1
-12.0,32.0,45.0,1
-31.0,20.0,28.0,1
30.0,-60.0,50.0,1
-30.0,32.0,32.0,1
-31.0,-40.0,43.0,1
-22.0,36.0,41.0,1
-6.0,18.0,50.0,1
7.0,-8.0,47.0,1
-28.0,10.0,47.0,1
-13.0,19.0,43.0,1
50.0,25.0,46.0,1
-17.0,-6.0,70.0,1
29.0,19.0,41.0,1
12.0,-30.0,45.0,1
16.0,10.0,61.0,1
-15.0,14.0,58.0,1
26.0,38.0,70.0,1
-20.0,-9.0,50.0,1
-20.0,-9.0,50.0,1
10.0,46.0,22.0,1
-22.0,36.0,41.0,1
-11.0,-78.0,66.0,1
-31.0,-40.0,43.0,1
50.0,25.0,46.0,1
6.0,9.0,45.0,1
-11.0,-78.0,66.0,1
-28.0,-49.0,63.0,1
20.0,18.0,25.0,1
15.0,10.0,45.0,1
10.0,0.0,19.0,1
-10.0,-31.0,30.0,1
12.0,5.0,39.0,1
15.0,-30.0,60.0,1
15.0,-30.0,60.0,1
-12.0,32.0,45.0,1
-9.0,40.0,49.0,1
14.0,40.0,60.0,1
14.0,3.0,45.0,1
-28.0,-18.0,25.0,1
15.0,30.0,44.0,1
-25.0,-20.0,55.0,1
-30.0,32.0,32.0,1
-28.0,-49.0,63.0,1
15.0,-13.0,35.0,1
-31.0,-40.0,43.0,1
-43.0,10.0,23.0,1
6.0,9.0,45.0,1
15.0,10.0,45.0,1
22.0,-70.0,51.0,1
-6.0,18.0,50.0,1
15.0,-30.0,60.0,1
10.0,46.0,22.0,1
-9.0,40.0,49.0,1
30.0,-60.0,50.0,1
-25.0,-20.0,55.0,1
-3.0,7.0,40.0,1
20.0,20.0,30.0,1
-3.0,7.0,40.0,1
12.0,-30.0,45.0,1
-5.0,-30.0,30.0,1
10.0,-22.0,37.0,1
22.0,5.0,55.0,1
