halfAngle,speed,target
37.0,437.0,0
29.0,425.0,0
15.0,900.0,0
30.0,300.0,0
70.0,1000.0,0
75.0,700.0,1
40.0,475.0,0
15.0,850.0,0
52.0,830.0,0
35.0,580.0,0
27.0,541.0,0
38.0,407.0,0
26.0,675.0,0
23.0,419.0,0
23.0,540.0,0
18.0,750.0,0
30.0,500.0,0
19.0,550.0,0
48.0,750.0,1
49.0,514.0,0
37.0,644.0,0
25.0,349.0,0
39.0,505.0,0
36.0,530.0,0
34.0,300.0,0
36.0,300.0,0
45.0,1000.0,0
29.0,694.0,0
23.0,425.0,0
41.0,1081.0,0
45.0,1200.0,4
51.0,917.0,1
40.0,610.0,1
26.0,460.0,0
14.0,670.0,0
22.0,448.0,0
25.0,460.0,0
25.0,500.0,0
40.0,520.0,0
15.0,245.0,0
9.0,430.0,0
34.0,622.0,0
32.0,860.0,0
36.0,705.0,0
18.0,550.0,0
52.0,878.0,0
17.0,494.0,0
13.0,417.0,0
36.0,590.0,0
23.0,340.0,0
17.0,672.0,0
20.0,400.0,0
21.0,850.0,1
23.0,514.0,0
26.0,750.0,1
17.0,430.0,0
22.0,326.0,0
42.0,600.0,0
32.0,597.0,1
22.0,299.0,0
20.0,580.0,0
27.0,300.0,0
31.0,370.0,0
31.0,543.0,0
14.0,265.0,0
12.0,463.0,0
15.0,469.0,0
25.0,387.0,0
16.0,475.0,0
34.0,329.0,0
40.0,371.0,0
33.0,571.0,0
33.0,530.0,0
25.0,371.0,0
25.0,667.0,0
32.0,900.0,0
70.0,1100.0,2
25.0,250.0,0
45.0,530.0,0
34.0,700.0,0
23.0,400.0,0
28.0,335.0,1
50.0,330.0,1
60.0,1000.0,2
25.0,790.0,1
27.0,530.0,0
22.0,400.0,0
22.0,300.0,0
32.0,400.0,0
15.0,490.0,0
25.0,300.0,0
42.0,780.0,2
24.0,470.0,0
26.0,521.0,0
31.0,252.0,0
55.0,564.0,0
28.0,389.0,0
35.0,544.0,0
21.0,275.0,0
38.0,375.0,0
49.0,855.0,1
38.0,433.0,0
21.0,233.0,0
15.0,262.0,0
30.0,615.0,0
45.0,458.0,0
48.0,782.0,0
25.0,330.0,0
55.0,650.0,0
30.0,340.0,0
40.0,1000.0,0
25.0,365.0,0
35.0,460.0,0
47.0,477.0,1
40.0,980.0,1
31.0,330.0,0
36.0,636.0,0
34.0,950.0,1
46.0,820.0,0
33.0,562.0,0
40.0,531.0,0
38.0,656.0,0
52.0,900.0,0
60.0,650.0,0
55.0,750.0,0
20.0,600.0,0
35.0,1100.0,0
28.0,900.0,1
15.0,525.0,0
25.0,574.0,0
7.0,173.0,0
22.0,480.0,0
17.0,322.0,0
12.0,710.0,0
39.0,905.0,0
16.0,235.0,0
40.0,476.0,0
75.0,1078.0,3
43.0,830.0,0
13.0,737.0,0
40.0,493.0,0
70.0,1600.0,0
39.0,622.0,0
31.0,844.0,0
40.0,400.0,0
68.0,950.0,1
92.0,2100.0,4
27.0,530.0,1
58.0,938.0,1
18.0,444.0,1
27.0,508.0,1
17.0,550.0,0
60.0,800.0,0
28.0,600.0,0
30.0,650.0,0
35.0,600.0,0
26.0,948.0,0
40.0,657.0,0
43.0,780.0,0
50.0,910.0,1
53.0,740.0,0
35.0,740.0,0
26.0,370.0,0
50.0,542.0,0
30.0,950.0,1
25.0,704.0,0
26.0,447.0,0
30.0,412.0,1
26.0,480.0,0
36.0,559.0,2
33.0,509.0,0
21.0,543.0,0
29.0,578.0,0
55.0,710.0,0
33.0,600.0,0
36.0,290.0,0
21.0,443.0,0
45.0,700.0,1
26.0,650.0,0
58.0,536.0,0
15.0,775.0,0
40.0,775.0,0
40.0,750.0,0
20.0,723.0,0
35.0,804.0,0
34.0,382.0,0
23.0,389.0,0
34.0,377.0,0
40.0,1060.0,1
45.0,823.0,0
23.0,440.0,0
15.0,413.0,0
41.0,756.0,1
34.0,533.0,0
25.0,600.0,0
40.0,338.0,0
29.0,721.0,0
29.0,435.0,0
24.0,760.0,0
21.0,409.0,0
23.0,490.0,0
39.0,780.0,0
20.0,60.0,0
31.0,400.0,0
26.0,347.0,0
29.0,634.0,1
20.0,528.0,0
20.0,470.0,0
19.0,696.0,0
31.0,1268.0,0
24.0,380.0,0
38.0,120.0,0
23.0,248.0,0
30.0,400.0,0
27.0,345.0,0
90.0,1600.0,4
18.0,585.0,0
27.0,250.0,0
29.0,504.0,0
27.0,360.0,0
23.0,725.0,1
65.0,769.0,3
41.0,531.0,1
27.0,333.0,0
45.0,535.0,0
30.0,300.0,0
45.0,325.0,0
38.0,1319.0,0
28.0,531.0,0
46.0,750.0,1
40.0,650.0,0
20.0,296.0,0
45.0,1275.0,5
30.0,450.0,0
49.0,620.0,1
49.0,2061.0,5
13.0,472.0,0
13.0,363.0,0
36.0,487.0,1
16.0,450.0,0
30.0,502.0,0
21.0,250.0,0
21.0,430.0,0
24.0,450.0,0
23.0,597.0,0
25.0,291.0,0
28.0,360.0,0
43.0,752.0,1
40.0,277.0,0
18.0,406.0,0
17.0,443.0,0
15.0,275.0,0
48.0,615.0,0
38.0,600.0,1
21.0,550.0,0
20.0,220.0,0
